unit,asof,mode,status
t2-F3-covid-curve-2020,2020-02-21,blind,pass
t2-F3-covid-curve-2020,2020-02-21,text,pass
t2-F3-cpi-shock-cross-2022,2022-09-09,blind,pass
t2-F3-cpi-shock-cross-2022,2022-09-09,text,pass
t2-F3-divergence-2014,2014-09-30,blind,pass
t2-F3-divergence-2014,2014-09-30,text,pass
t2-F3-dollar-squeeze-2020,2020-03-13,blind,pass
t2-F3-dollar-squeeze-2020,2020-03-13,text,pass
t2-F3-dollar-vortex-2022,2022-09-01,blind,pass
t2-F3-dollar-vortex-2022,2022-09-01,text,pass
t2-F3-dots-vs-oil-2014,2014-12-17,blind,pass
t2-F3-dots-vs-oil-2014,2014-12-17,text,pass
t2-F3-election-2024-joint,2024-10-31,blind,pass
t2-F3-election-2024-joint,2024-10-31,text,pass
t2-F3-fragile-five-joint-2013,2013-05-24,blind,pass
t2-F3-fragile-five-joint-2013,2013-05-24,text,pass
t2-F3-funding-flip-2024,2024-07-26,blind,pass
t2-F3-funding-flip-2024,2024-07-26,text,pass
t2-F3-hiking-year-curve-2018,2018-06-13,blind,pass
t2-F3-hiking-year-curve-2018,2018-06-13,text,pass
t2-F3-inversion-persistence-2019,2019-08-14,blind,pass
t2-F3-inversion-persistence-2019,2019-08-14,text,pass
t2-F3-oil-fx-split-2022,2022-02-18,blind,pass
t2-F3-oil-fx-split-2022,2022-02-18,text,pass
t2-F3-rates-into-factors-2022,2022-01-05,blind,pass
t2-F3-rates-into-factors-2022,2022-01-05,text,pass
t2-F3-safe-haven-paradox-2011,2011-07-22,blind,pass
t2-F3-safe-haven-paradox-2011,2011-07-22,text,pass
t2-F3-scandies-stress-2022,2022-09-23,blind,pass
t2-F3-scandies-stress-2022,2022-09-23,text,pass
t2-F3-taper-steepener-2013,2013-05-24,blind,pass
t2-F3-taper-steepener-2013,2013-05-24,text,pass
t2-F3-term-premium-steepener-2023,2023-09-21,blind,pass
t2-F3-term-premium-steepener-2023,2023-09-21,text,pass
t2-F3-vaccine-rotation-2020,2020-10-30,blind,pass
t2-F3-vaccine-rotation-2020,2020-10-30,text,pass
t2-F4-aud-gfc-2008,2008-09-12,blind,pass
t2-F4-aud-gfc-2008,2008-09-12,text,pass
t2-F4-chf-floor-strain-2015,2014-12-19,blind,pass
t2-F4-chf-floor-strain-2015,2014-12-19,text,pass
t2-F4-china-panic-2016,2015-12-31,blind,pass
t2-F4-china-panic-2016,2015-12-31,text,pass
t2-F4-china-stress-mkt-2015,2015-07-31,blind,pass
t2-F4-china-stress-mkt-2015,2015-07-31,text,pass
t2-F4-covid-mkt-2020,2020-02-19,blind,pass
t2-F4-covid-mkt-2020,2020-02-19,text,pass
t2-F4-covid-nfp-2020,2020-03-31,blind,pass
t2-F4-covid-nfp-2020,2020-03-31,text,pass
t2-F4-covid-rates-2020,2020-02-14,blind,pass
t2-F4-covid-rates-2020,2020-02-14,text,pass
t2-F4-cpi-friday-2022,2022-05-31,blind,pass
t2-F4-cpi-friday-2022,2022-05-31,text,pass
t2-F4-cpi-vintage-2022,2022-05-31,blind,pass
t2-F4-cpi-vintage-2022,2022-05-31,text,pass
t2-F4-eur-warnings-2022,2022-02-18,blind,pass
t2-F4-eur-warnings-2022,2022-02-18,text,pass
t2-F4-factor-stress-2008,2008-09-12,blind,pass
t2-F4-factor-stress-2008,2008-09-12,text,pass
t2-F4-funding-stress-10y-2008,2008-09-12,blind,pass
t2-F4-funding-stress-10y-2008,2008-09-12,text,pass
t2-F4-funding-stress-2y-2008,2008-09-12,blind,pass
t2-F4-funding-stress-2y-2008,2008-09-12,text,pass
t2-F4-gbp-brexit-2016,2016-05-31,blind,pass
t2-F4-gbp-brexit-2016,2016-05-31,text,pass
t2-F4-gbp-conference-2016,2016-09-30,blind,pass
t2-F4-gbp-conference-2016,2016-09-30,text,pass
t2-F4-hike-cycle-2021Q4b,2021-12-31,blind,pass
t2-F4-hike-cycle-2021Q4b,2021-12-31,text,pass
